model,season,penalty,outcome,term,coefficient
ml_plain_logit,2022-23,100.000000000,home_vs_draw,stage6_logit_away_draw,-0.060638126
ml_plain_logit,2022-23,100.000000000,home_vs_draw,form_points_diff,0.084599830
ml_plain_logit,2022-23,100.000000000,home_vs_draw,sot_share_diff,0.189782085
ml_plain_logit,2022-23,100.000000000,home_vs_draw,rest_days_diff,-0.026265829
ml_plain_logit,2022-23,100.000000000,home_vs_draw,home_promoted,-0.043871719
ml_plain_logit,2022-23,100.000000000,home_vs_draw,away_promoted,0.010248727
ml_plain_logit,2022-23,100.000000000,away_vs_draw,intercept,0.063634717
ml_plain_logit,2022-23,100.000000000,away_vs_draw,stage6_logit_home_draw,-0.142807086
ml_plain_logit,2022-23,100.000000000,away_vs_draw,stage6_logit_away_draw,0.176772665
ml_plain_logit,2022-23,100.000000000,away_vs_draw,form_points_diff,-0.049044644
ml_plain_logit,2022-23,100.000000000,away_vs_draw,sot_share_diff,-0.093179339
ml_plain_logit,2022-23,100.000000000,away_vs_draw,rest_days_diff,0.010137540
ml_plain_logit,2022-23,100.000000000,away_vs_draw,home_promoted,0.073957698
ml_plain_logit,2022-23,100.000000000,away_vs_draw,away_promoted,0.033824026
ml_plain_logit,2023-24,100.000000000,home_vs_draw,intercept,0.480800619
ml_plain_logit,2023-24,100.000000000,home_vs_draw,stage6_logit_home_draw,0.182297997
ml_plain_logit,2023-24,100.000000000,home_vs_draw,stage6_logit_away_draw,-0.106070830
ml_plain_logit,2023-24,100.000000000,home_vs_draw,form_points_diff,0.069132384
ml_plain_logit,2023-24,100.000000000,home_vs_draw,sot_share_diff,0.166240282
ml_plain_logit,2023-24,100.000000000,home_vs_draw,rest_days_diff,-0.052835322
ml_plain_logit,2023-24,100.000000000,home_vs_draw,home_promoted,-0.002146143
ml_plain_logit,2023-24,100.000000000,home_vs_draw,away_promoted,0.029095058
ml_plain_logit,2023-24,100.000000000,away_vs_draw,intercept,0.022514573
ml_plain_logit,2023-24,100.000000000,away_vs_draw,stage6_logit_home_draw,-0.147909986
ml_plain_logit,2023-24,100.000000000,away_vs_draw,stage6_logit_away_draw,0.202464900
ml_plain_logit,2023-24,100.000000000,away_vs_draw,form_points_diff,-0.046007111
ml_plain_logit,2023-24,100.000000000,away_vs_draw,sot_share_diff,-0.097172418
ml_plain_logit,2023-24,100.000000000,away_vs_draw,rest_days_diff,-0.006474233
ml_plain_logit,2023-24,100.000000000,away_vs_draw,home_promoted,0.065736021
ml_plain_logit,2023-24,100.000000000,away_vs_draw,away_promoted,0.004625394
ml_plain_logit,2024-25,100.000000000,home_vs_draw,intercept,0.507905145
ml_plain_logit,2024-25,100.000000000,home_vs_draw,stage6_logit_home_draw,0.186074714
ml_plain_logit,2024-25,100.000000000,home_vs_draw,stage6_logit_away_draw,-0.156212170
ml_plain_logit,2024-25,100.000000000,home_vs_draw,form_points_diff,0.063988079
ml_plain_logit,2024-25,100.000000000,home_vs_draw,sot_share_diff,0.156295703
ml_plain_logit,2024-25,100.000000000,home_vs_draw,rest_days_diff,-0.015112019
ml_plain_logit,2024-25,100.000000000,home_vs_draw,home_promoted,0.001989978
ml_plain_logit,2024-25,100.000000000,home_vs_draw,away_promoted,0.016249906
ml_plain_logit,2024-25,100.000000000,away_vs_draw,intercept,0.022370505
ml_plain_logit,2024-25,100.000000000,away_vs_draw,stage6_logit_home_draw,-0.144842675
ml_plain_logit,2024-25,100.000000000,away_vs_draw,stage6_logit_away_draw,0.229489715
ml_plain_logit,2024-25,100.000000000,away_vs_draw,form_points_diff,-0.023707191
ml_plain_logit,2024-25,100.000000000,away_vs_draw,sot_share_diff,-0.106775270
ml_plain_logit,2024-25,100.000000000,away_vs_draw,rest_days_diff,-0.015008069
ml_plain_logit,2024-25,100.000000000,away_vs_draw,home_promoted,0.049052620
ml_plain_logit,2024-25,100.000000000,away_vs_draw,away_promoted,-0.005509442
