model,season,decay_per_day,prior_k,matches,log_loss,brier_score,promoted_matches,promoted_log_loss
dixon_coles_promoted_prior,2024-25,0.003000000000,64,341,0.955024645412,0.565610986431,102,0.995661972345
dixon_coles_promoted_point,2019-20,0.001500000000,0,306,1.047305200659,0.628199380768,96,1.098673275385
dixon_coles_promoted_point,2019-20,0.001500000000,4,306,1.039331543544,0.623424173249,96,1.073257243331
dixon_coles_promoted_point,2019-20,0.001500000000,8,306,1.037205316195,0.622081570871,96,1.066479893658
dixon_coles_promoted_point,2019-20,0.001500000000,16,306,1.035650257199,0.621087889988,96,1.061523143106
dixon_coles_promoted_point,2019-20,0.001500000000,32,306,1.034811114245,0.620547639394,96,1.058848374942
dixon_coles_promoted_point,2019-20,0.001500000000,64,306,1.034544135417,0.620374738682,96,1.057997379928
dixon_coles_promoted_point,2019-20,0.003000000000,0,306,1.047458013468,0.627475921397,96,1.105347624639
dixon_coles_promoted_point,2019-20,0.003000000000,4,306,1.039275200959,0.622587546980,96,1.079264909768
dixon_coles_promoted_point,2019-20,0.003000000000,8,306,1.037143096771,0.621238973339,96,1.072468827668
dixon_coles_promoted_point,2019-20,0.003000000000,16,306,1.035607271934,0.620261569059,96,1.067573386001
dixon_coles_promoted_point,2019-20,0.003000000000,32,306,1.034810423683,0.619753200679,96,1.065033432199
dixon_coles_promoted_point,2019-20,0.003000000000,64,306,1.034600541861,0.619620139771,96,1.064364433892
dixon_coles_promoted_point,2020-21,0.001500000000,0,420,1.038248883328,0.624090817416,114,1.093373041953
dixon_coles_promoted_point,2020-21,0.001500000000,4,420,1.033506772869,0.620489517055,114,1.075902108683
dixon_coles_promoted_point,2020-21,0.001500000000,8,420,1.032221439040,0.619540900452,114,1.071166668258
dixon_coles_promoted_point,2020-21,0.001500000000,16,420,1.031238323262,0.618843125043,114,1.067544662763
dixon_coles_promoted_point,2020-21,0.001500000000,32,420,1.030741440984,0.618531800193,114,1.065714043842
dixon_coles_promoted_point,2020-21,0.001500000000,64,420,1.030696672374,0.618555157110,114,1.065549106857
dixon_coles_promoted_point,2020-21,0.003000000000,0,420,1.040003661041,0.624821523654,114,1.091876277920
dixon_coles_promoted_point,2020-21,0.003000000000,4,420,1.035241577474,0.621170554539,114,1.074331759516
dixon_coles_promoted_point,2020-21,0.003000000000,8,420,1.033895046436,0.620193437383,114,1.069370855692
dixon_coles_promoted_point,2020-21,0.003000000000,16,420,1.032845112621,0.619466950207,114,1.065502678479
dixon_coles_promoted_point,2020-21,0.003000000000,32,420,1.032292070916,0.619129596823,114,1.063465156407
dixon_coles_promoted_point,2020-21,0.003000000000,64,420,1.032212467845,0.619136420989,114,1.063171881935
dixon_coles_promoted_point,2021-22,0.001500000000,0,380,1.026299718507,0.615835600338,108,1.069552420530
dixon_coles_promoted_point,2021-22,0.001500000000,4,380,1.023099602531,0.614194557748,108,1.058292753207
